시장명,별점,리뷰
은평구 대림시장,4.2,"['저렴하고 친절하고 넓고 재밌었어요.', '저렴, 다양, 친절.', '상품 품질뿐만이 아니라 가성비도 매우 좋습니다!', '저렴하고 상품이 다수', '○○○○', '일탄은 비교해 보면 다른 시장들 보다 많이 싼 편입니다.', '새단장해서 깔끔해진 대림시장.\n감자국 가게집도많고 야채,과일싸고\n좋아요', '이 근처에서 이만한 가성비를 가진 시장을 찾기 어려움.', '이번 시설을 잘 했습니다.  시민을 위해서 천장공사 끝나고 깔끔하게 분위기가 좋았어요. 근데 아쉬운 점은 끝까지 했으면 좋았을것 같은데... 여튼 수고 믾으셨습니다 화이팅 은평구??????????']"
은평구 신응암시장,4,"['자주가는곳', '시장은 시장이었다 ..', '동네시장 다워요  보통수준', '무두 열심히들 사네요 정감 남치는곳입니다', '지자체에서 지원나온돈으로 대낮부터 상인들 아침부터 저녁까지 모여서 술파티... 앰프에다 트로트 같은거 엄청 크게 틀어놓고 잔치벌이고 있네요. 코로나도 한참 유행중인 마당에 뭐하는 짓인가요 여기?? 진짜 세금아깝네요']"
은평구 증산종합시장,3.7,"['암울하다.\n이 코딱지만한 곳을 환하게 해 줄\n촛불 하나 십시일...더보기', '소영이네 분식 싸고 맛 괜찮음.', '시장이라기보단 거의 국밥촌\n그외 다른 먹거리들이 있는편이며 \n주차시설X', '고흥집 순대국밥이 찐또배기.']"
종로구 신설종합시장,5,['취미 만들려구 갔는데 최고였습니다!!']
종로구 광장시장,3.2,"['육회, 육사시미 낙지탕탕이 등 맛있는 메뉴가 많습니다. 줄서서 먹는 집이 많고 외국인이 참 많습니다. 정신없을 정도예요~^^', '카드 안 받는곳\n바가지영업하는곳\n특히 외국인바가지영업 퇫!\n여기 ...더보기', '외국인 많아요~~~', '인간의 욕심은 끝이없다는것을 보여주는 대표적인곳!!!!\n물밀듯이 넘쳐 들어오는 관광객이 있으니 바가지상술에 질떨어지고 위생 개박살내도 평타이...더보기', ""광장시장 야시장 입구 사거리 여기 분식집은 가지 마세요. 위생도 테러블이고 맛도 최악. 여자 사장님 마인드도 최악입니다. 못 믿을거면 가보시고요^^\n\nDon't go to the snack bar here at the entrance o...더보기"", '구경하기는 좋은데 뭐 먹기는 애매함', '위생불량이  빤이 눈에 보이고, \n카드리더기는 대부분 고장인듯 한데,\n카드 리더기...더보기', '시장인데, 비싸요.\n\n그럼 시장 왜...더보기', '1차로 밥을 먹고 2차로 빈대떡에 간단히 먹으려\n방문했는데 인당 5천원이상 주문해야 된다고\n나가라고 해서 나왔음! 헐 어이없음!', '별 하나도 아까운 곳 \n불 친절  바기지에 맛도 없고 \n최악']"
종로구 종로신진시장,4.7,"['광장시장은 잠시 접고 이젠 신진시장으로 ㅋ\n생선구이, 닭한마리, 돼지곱창에 가맥 먹으러 오세요~']"
종로구 한일상가,,[]
종로구 동대문종합시장,4.3,"['미래야 가게 친절하고 좋아요. 물건도 다양함', '구경하는 재미가 있어요… 재료 사러가면 눈 깜짝할 새에 몇마넌 쓰고있음', '좋음', '주말에는 사람 너무 많아요 덥고 그래도 재료는 많이서 좋아요', '여기 예전에 하도 돌아다녀서 그냥 가봤는데 오랜만에 가도 재밌다\n가격이 오르기는 했지만 그래도 뭐가 다양해서 원하는거는 어지간하면 다 있음', '이제 더이상 옛날 그 가격이 아님 ㅋㅋㅋ 알리/테무에서 사면 되는데 여기 오면 저 호구잡아주세요~ 하는 꼴', '동대문종합시장은 사랑이쥬 취미생활 갖게해주는 곳', '도매시장 구경하러 왔어요~\n볼 것도 많고 시장 규모 엄청나게 컸어요!\n구경뿐만 아니라 자재 구하러 가기에 좋을 것 같아요~', '방문객도 주차가능\n옥상주차장과 지하주차장 모두 동일하게 최초30분 3,000원, 초과 15분당 1,000원', '다양한물건이있어서좋아요.']"
종로구 동대문종합시장D동상가,3.7,"['엄청 넓ㅇㅓ요 좀 헤매야됨', '다 좋은데, 이유는 모르지만 무서운 사람들이 건물을 지키는 중.']"
종로구 동대문종합시장 신관,,[]
종로구 동문시장㈜,2.5,['어머님이랑 구경가서 트렁크랑 양말 싸게 샀어요']
종로구 통인시장,2.9,"['재밌어여', '기름떡볶이이이 닭꼬치이이ㅣ??????', '엽전도시락은 평일 오후 3시 주말 오후 4시까지였네요...\n모르고가서 그냥 계좌이체로 결제하고 다녔습니다.\n그래도 상인분들 친절하시고 맛있었습니다', '간단하게 먹고 엽전으로 체험할수있어서 좋음 하지만 사장님들 불친절 어짜피 한번보고 안올사람들이니 대충응대하는 느낌', '사람들이 친절해요', '일본인 친구들 데리고 도시락 까페 바로 앞에있는 닭강정집 가서 3500원 내고 닭강정 샀는데, 나이 있으신 여자 사장님이 무슨, 닭값이 얼마나 비싼데 조금만 줘야지 이 말을 계속 하면서 진짜 간장 종지만큼만 ...더보기', '기름떡볶이 맛있어요\n줄 긴집이 더 맛있는데 줄 짧은집은 덜매워서 아이들 먹기는 더 나아요', '떡복이 5000원\n총 8000원\n인플레이션의 ...더보기', '기름떡뽁이 맛있어요', '왠만하면 리뷰를 잘 안쓰는데 기름떡볶이 파는 여사장님 되게 틱틱되고 엽전으로 계산하는데 자꾸 눈치주고 은근하게 면박줘서 짜증났습니다^^ 기름떡볶이 맛도 별로고 양도 적어서 별로였습니다. 통인시장이 ...더보기', '엽전을 쓴다는 특이한 체험을 하러가기에 좋다\n김치전, 닭꼬치가 맛있었음', '엽전 재미있는데 음식 가짓수가 많이 없는게 아쉬웠음\n그래도 서울 한복판에 이런 전통시장 있는 것만으로 감사함\n기름떡볶이 생전...더보기', '궁금하면 한번쯤 가볼만함 근데 재방문할 사람이 있을까? 어딜가나 음식들이 식어있는데 그중 기름떡볶이가 최악임 느끼한 돌조각같음...더보기', '.', '엽전 방식 도입해서 최근 한국인들도 많이 오는데 엽전보면 저흰 엽전 못써요ㅋ 거리면서 틱틱거리는 상인...더보기', '규모가 작음.']"
중구 남대문시장,4.3,"['거리에서 파는 옷 사지마세요. 한번빨앗는데 바로 목 늘어나고 티하나에 2만원 2만5천원이면 너무 비싼거예요. 안경쓴 아줌마 특히 옷을 그렇게 샀는데도 하나도 안깎아주고 산티가 목만 잔득 늘어낫어요', '구경거리도 많고 즐거워요 ㅎㅎ~ 종종 옵니다', '양말 10개 묶음이라고해서 샀는데 집에 와서 보니까 9개밖에 없어요; 못된아저씨때문에 기분이 안좋네요 복잡해서 상호랑 위치도 기억이안나는게 아쉬워요', '구경할건 많긴한데 너무 복잡해요', '호구당하기 쉬운곳 ㅎㅎ', '쓰레기같은 떡볶이 ㅋㅋ', '☆☆☆☆☆엄청 촣음: 볼거리랑 먹거리 잠옷\n샤프심,샤프,장난감,등등.... 재미있는게 많이 있어서\n촣았다. 안와 봤으면 1번쯤 와...더보기', '심심할때마다 가는데 별로...', '갈치골목에서 식사하고 아이쇼핑하기 좋다\n가급적 지하철이나 버스를 이용하기를 권한다\n의류는 비싼편이고 자칫 가격대를 모르면 당할수도 있다', '안경 싸고\n주방용품, 그릇 싸고\n귀금속도...더보기', '안경 맞추러 가는데 저렴하고 교통도 편리합니다. 먹거리는 야채호떡이 맛있답나다.', '어질어질 하네요 아버지 가죽자켓 사드리려고 갔는데 좋아보이는건 90만원 적당해 보이는건 70만원 50만원 부르는곳입니다 미친 나라네요 이러니 사람들이 시장...더보기']"
중구 숭례문수입상가,4.1,"['오프라인 특유의 쇼핑하는 맛이 있어요. 흥정하는 재미도 있고 아기자기하게 재미난게 많네요', '어제 오랜만에 남대문 수입상가에 갔는데,\n10년, 20년전과 다름없이 ""불친절은 기본에 무례하고 가격역시 신뢰할 수 없이 오르락내리락"" 이네요,\n특...더보기', '보람사 최고!', '원일.질레트5주연도날4개포장14000\n8개포장24000원\n02)754 135...더보기', '상가 관리가 안되는듯하네요\n굉장히 불친절한 매장이 있는데\n상가차원에선 그런부분에 대해 관리하지않는다...더보기']"
중구 삼익패션타운,4.3,"['삼익패션타운 가성비 좋고 너무너무 좋아요... 비싸지도 않고 옷 질도 좋고 자주자주 가고싶어요 ??', '가성비좋아요', '머리핀 저렴하게 샀어요\n카드는 안됩니다']"
중구 대림상가,2.5,[]
중구 청계상가,4.6,"['금가프라자ㅋㅋ', '원하는 가게찾기 엄청 어려움....', '뭐여 킹세운이 되버렸으, 아케이드 신의 한수', '금가프라자 ㅎㅎ 빈센조의 금이 묻혀있는곳~']"
중구 광희패션몰,2,"['이 양말 가게 주인은 충격을 받았는지 입에서 똥이 나오니, 모두 조심하세요\n그는 타자를 치지 않고, 음성으로 심한 욕을 할 작정이었어요\n??子商家老板受刺...더보기', 'Leather']"
중구 남평화시장,5,[]
중구 동평화시장,3.1,"['상권이많이 죽었지만 옛 추억이생각나요', '의류매장 하시는 사장님들한테는 저렴하지만 일반인들한테는 조금 비싸게 받아요 가격표가 있는데두 그래서 일반 시민들은 가셔서 아는것처럼 우기셔야 해요~~지인분때...더보기', '2층 짝퉁 옷파는 가게 중에 사기꾼 아줌마 있음. 혹시나 당할시 연락처 절대 남기지 말고 알아서 고소하던가 짝퉁파는걸로 너가 고소미 먹던가 외치고 나올 것', '청소년기의 추억.']"
중구 신평화패션타운,4.8,['싸요 친절하고']
중구 벨포스트,,[]
중구 제일평화시장,3.1,"['온라인에 6만원 9만원하는게 여기선 25만원 30만원으로 둔갑함 눈앞에서 이거 같은제품 아니냐고하면 그 가격에 맞춰줄게 그러고 갑자기 태도급변함 얼탱이 없음 물건자...더보기', '옷 종류 많고 싸거 최고에요!!!@', 'I agree that they are selling trendy clothes, but some of them are not honest. They told me that it was a wool jacket, but it turned out 100% polyester material, an...더보기', '처음 간 시장이었는데 대체로 친절하셨어요. 만족한 쇼핑이었어요', '굿', '전같지않다 어릴적 티셔츠 단체로 주문하고\n경기용 트레이닝복 주문하고 했는데 다 옛일이다', '예전하고 달라졌어요\n기대를 너무 많이 하지는 마세요', '동네보다 저렴하게 구입하러 오시지만 사업자등록증이 없는 일반 소비자들에게는 소매가격으로 판매하니 동네에서 입어보고 구매하는 게 낫다...더보기', '장사하면서 남한테도 친절하지고 못하고 친절  해야지 가지요/갔다가 열 받아서', 'Leather & 보세', ""제일평화시장 지하에 밥집이 있습니다. 영수증에 찍힌 상호는 '지하스넥'입니다. 이 집 골뱅이비빔면을 8,000원에 팝니다. 삼다수 500ml는 무려 1,200원을 받구요. 쇼핑하다 아무리 배가 고파도, 배가 고...더보기""]"
중구 청평화시장,4.9,"['삼풍건설산업이 만든 건물', '나오미 매장 갔었는데 사장님 진짜 친절하시고 응대잘해주셨어요! 감사합니다']"
중구 테크노상가,5,[]
중구 Team204,5,"['다양한 엑세서리가 많아요~~', '일본 관광객이 엄청 많네요. 악세사리 천국~']"
중구 신중부시장,4.2,"['전국 최대 규모의 중부건어물시장은 다양한 상품과 먹거리를 동시에 즐길 수 있고 특히 김, 미역, 조기, 멸...더보기', '건어물종류 많아요', '건어물 최고\n건어물 수입 유통 전문\n두신건해. 짱', '멸치나 오징어 황태 조기 등 건어물 구입이나 아몬드 브라질너트 같은 견과류 구입을 한다면 중부시장만한 곳이 없다. \n명절선물 구입에도 최고의 시장으...더보기', '건어물은 역시 중부시장이죠', '저렴하게 구입할수있는 시장', '아직 남아있는 재래시장이 더욱 활성화되길 바랍니다!!']"
중구 동화상가,5,['좋아요']
중구 통일상가,,[]
중구 방산종합시장,5,[]
중구 서울중앙시장,3.6,"['화장실 찌린내 진동~', '먹거리 풍부하고 볼거리 많고 사람 많아요', 'ㅎㅎㅎ', '불친절, 위생, 현금장사, 비쌈..', '너무 좋았습니다', '낡고 오래됐다고 힙한건 아니잖아요...? 너무 더럽고 가격도 비싸고 다시는 못 갈 곳', '굿', '기름없는 찹쌀호떡이 궁금해 줄 섰습니다.~신당역중앙시장 처음인데\n광장시장 못지 않은 곳이 계속 오가는 오토바이와 휴지없는공용화장실\n때문에 너무너무너무 아쉬...더보기', '재래시장 구경 잘하고 왔습니다. 먹거라도 좋았구요']"
중구 황학시장,3.6,"['화장실 찌린내 진동~', '먹거리 풍부하고 볼거리 많고 사람 많아요', 'ㅎㅎㅎ', '불친절, 위생, 현금장사, 비쌈..', '너무 좋았습니다', '낡고 오래됐다고 힙한건 아니잖아요...? 너무 더럽고 가격도 비싸고 다시는 못 갈 곳', '굿', '기름없는 찹쌀호떡이 궁금해 줄 섰습니다.~신당역중앙시장 처음인데\n광장시장 못지 않은 곳이 계속 오가는 오토바이와 휴지없는공용화장실\n때문에 너무너무너무 아쉬...더보기', '재래시장 구경 잘하고 왔습니다. 먹거라도 좋았구요']"
중구 자유상가,4,[]
중랑구 우림골목시장,4.3,"['그래도 시장이 엄청 크진않아도 작지도 않고 이것저것 알차게 있습니다 먹거리도 많아용', '5개월동안 자주다니면서 느낀점\n넓지않아서 종류가 다양하지않고 가격도 저렴한 편은 아닌듯함 집에서 가까우니까 어쩔수없이 다니지만...더보기', '작지만 알차고, 알차지만 디테일하지는 않음. 적당히 깔끔한 시장', '어릴때 다니던 곳인데 깔끔해짐', '긴~~~~~~~~~~~시장 ^^\n맛집들도 있음', '밑에 반찬집 혹평 리뷰 무식 자랑하는 건가.. 한 근에 600그램은 고기 잴 때 기준임. 과일, 채소는 한 근에 375그램으로 침. 초등학교 때 배움.', '주차권안줌 뻔히거기서물건산건데도안줌 차가지고가지마세요', '저렴하고 다니기 편함']"
중랑구 중랑동부시장,3.7,"['시장이 많이 죽어서 안타까움', '가까워서 지나다 들러요 시장이지만 작아요', '옛날에비해\n많이 죽음...ㅠ', '동부시장은 재래시장치고 잡화가게가 많은 곳입니다. 큰길에서 진입하면 속옷가게,옷가게,가방가게 등등이 입구에 있어서 독특해요. 더 안으로 들어가면 ...더보기', '어머 춘식이다 반가워~~', '폐업하는 매장이 많아요.', 'MZ세대인 우리에게 시장이란 뭘까? 신기는 한데\n가서 살 것도 놀 것도 마실 것도 그냥저냥\n그나마 메가박스 동부시장점이 장점']"
중랑구 동원전통종합시장,3.8,"['여기 시장이 젤 좋아요', '다양한 상품들이 있어 좋아요', '엄청 긴 시장 ~~\n군데군데 맛집도 있음', '시장이 길이가 긴데 공중화장실이 한군데밖에 없고 아직도 현찰 위주인데가 있고 길에 라인선 밖으로 나와 사람들 지나는게 부딪쳐서 불편합니다.', '없는거빼고 다있는, 엄청 큰 재래시장입니다. 근처에 여기 동원시장, 동부시장,우림시장이 있는데 여기가 제일 크지 않으려나(재보지 않아서 주관적입니다)... 여기는 주로 요리된 것들이 많은...더보기', ""옷집 '마리' 비추합니다.\n\n동네시장이라 오랜세월 장보는 시장인데\n다...더보기"", '정육점에서 3700원어치 고기사고(조금만 필요해서 조금만 산거예요) \n잔돈 생기는거 싫어서 카드로 계산하려했더니\n카드로 계산하...더보기', '동원시장 물건도 싸고 정말 좋아요']"
중랑구 동원시장,3.8,"['여기 시장이 젤 좋아요', '다양한 상품들이 있어 좋아요', '엄청 긴 시장 ~~\n군데군데 맛집도 있음', '시장이 길이가 긴데 공중화장실이 한군데밖에 없고 아직도 현찰 위주인데가 있고 길에 라인선 밖으로 나와 사람들 지나는게 부딪쳐서 불편합니다.', '없는거빼고 다있는, 엄청 큰 재래시장입니다. 근처에 여기 동원시장, 동부시장,우림시장이 있는데 여기가 제일 크지 않으려나(재보지 않아서 주관적입니다)... 여기는 주로 요리된 것들이 많은...더보기', ""옷집 '마리' 비추합니다.\n\n동네시장이라 오랜세월 장보는 시장인데\n다...더보기"", '정육점에서 3700원어치 고기사고(조금만 필요해서 조금만 산거예요) \n잔돈 생기는거 싫어서 카드로 계산하려했더니\n카드로 계산하...더보기', '동원시장 물건도 싸고 정말 좋아요']"
중랑구 면목시장,4.3,"['사가정시장보다는 괜찮은 듯?', '오며가며 들르는 곳. 은근 맛집도 몇군데 있음 ^^']"
중랑구 면목골목시장,3.3,"['룰루랄라', '칼국수맛있게먹고 화장실갔다가 화장실냄새에 다토했다 화장실에서 역겨운냄새가 코를찌른다 변기도 6,70년대에나 있을법한 쪼그려서 앉아서 변을봐야한다 신성시장 고객들의 입장은 ...더보기']"
중랑구 사가정시장,3.2,"['맛집들이 많아서 좋았습니다!', '그저 그래요.', '통닭이랑 장어가 유명함 앞에 반찬집도 맛있음 !!', '없는거 없는 시장도 좋지만, 북적대는 사람도 많아야 제 맛 아닐까!', '입구쪽 사거리에 도비야라는 분식점이 잇는데 핫도그랑 옥수수 먹어봣는데 핫도그가 별로일 수도 있구나 느꼈고 얼마전에 자주가는 떡볶이집 닫아서 어쩔수없이 가서 분식 포장해왔는데 떡볶이 불어터졌고 순대는 ...더보기']"
중랑구 중랑교종합상가,3.6,"['상품이 다양하고, 위스키등 양주와 와인코너가 있습니다', '온누리상품권 사용되는 큰마트^^', '싸지 않은 동네 마트', '주차는 5만원 이상인가 그래요.\n동부시장 안에있어서 온누리상품권으로 10퍼센트 할인받아 구매할 수 있다는게 최대장점. 공산품이랑 ...더보기', '와인 너무 비싸네요. 주차도 예전엔 앞에다가 대면 지원 됐는데 그것도 없어졌다 하고요.', '와인 가격도 착하고\n식품도 가격이 너무 좋아요', '2022. 01. 15(일) 방문.\n\n서울엔 리쿼샵이 참 많다. 그중에서도 모바일 온누리 상품권 사용이 가능해서 가격적 메...더보기', '과일판매대에 파는분 안계셔서 카운터에 물어보니 주위에 있을거라고 그분한테 말하라고 하곤 무관심…', '계산여직원 100원짜리냈다고\n100원짜리랑500원짜리는돈아닌가\n은행가서바꾸라네 ㅋ여태팔아준게...더보기', '과일 세일하는거 이런거 먹지마세여 완전쓰레기입니다. 한두번 사먹는것도 아니고 토마토 한박스 샀는데 딱딱해서 못먹고  과일 사려면 시장 과일파는데서 사세여', '주변에 들릴 일이 있어서 지나가다가 새로 오픈했다길래 들어가보니 엄청 크네요. 요즘 중소형마트들 사이에서 와인 판매하는게 대세인가봐요 여기도 화려합니다']"
중랑구 동성타워프라자,,[]
중랑구 신아타운,2,['주차 경쟁이 치열함. 건물 크기에 비해 주차자리가 많이 협소함. 특히 주말은 더더 난리남']
중랑구 태능엔터피아,,[]
중랑구 장미제일시장,5,[]
중구 아트프라자,3,['주차 불가능 낚이지 말자.']
강화군 강화중앙시장,3.5,"['많은 곳이 문을 닫은 상태이라서 크게 기억에 남는 곳이 없음', 'good']"
강화군 강화풍물시장,3.8,"['1층은 농수산물, 2층은 식당 및 주전부리 그리고 수제품들 다양해요. 고구마나 순무김치 같은 지역농산물을 적당량씩 살수 있어 장보기에 좋죠. \n장날엔 주차장에 별의별 먹...더보기', '1층은 수산시장, 2층은 밴댕이 특화식당인데요.\n\n동일메뉴를 여러 식당이 영업하는 곳입니다.\n2인분 3만원에 무...더보기', '1층: 상설 시장 및 장어구이 포장판매\n2층: 밴뎅이 전문 식당가\n\n외부: 매...더보기', '밴댕이 가게 많은데 밴댕이철에 가면 어딜가도 맛있을듯요\n밴댕이 맛있네요', '전기차 충전 위해 들어가려는데 가까운쪽 막아 놓고 \n반대로 돌아오려고 함\n그...더보기', '강화 갈때마다  들려서\n밴댕이정식(회  구이. 무침)먹고\n순무김치도  사옵니다', '수수부꾸미, 찐빵 파는 곳 전혀 설명없음 기다리는 손님들이 줄 서는 곳, 어디까지 살 수 있는지 줄 스지 말라고 알려줌 진짜 불친절', '장만보면 주차비 내야하니 건물안에가서 2층 벤댕이 먹고오자', '밴댕이정식 \n매우 맛 있어요\n늘~~', '순무김치에 그냥 무만 잔뜩…\n순무김치사지마세여… 부모님한테 드리고 욕먹음 ㅠ', '풍물시장 가면 항상 먹는 벤댕이회정식\n구수한 구이와 향긋한 회무침 최고, 입가심으루 바지락 칼국수도 좋고, 순무김치랑 노랑고구마 양념계장 장두 보구, 할머니 김치만두  또한 최최고~~^^', '현금받고 주차비는 별도', '풍물시장입구좌측노점에서 김장배추하고순무가격물어보니..순무8개2만이라길래. 좀깍아주면 안되나요?했더니 안된다고 빨리가라고! 아주 인상쓰면서말하길래 건물안쪽으로들어오니 순무더좋고...더보기', '주차도 조금 불편하고 산지가격이 더비쌈']"
강화군 강화터미널상가,1,[]
계양구 계산시장,2.7,"['계산시장이 이재명대표 자리이네 계산시장에 냄새나고 말하면 이재명 탄핵찬성해야죠', '신시장 같으면서도 제대로 관리되지못해 구시장 같은 분위기, 뭐 하나 사먹으려해도 왠지 먹으면 탈날것 같은 느낌~... 냄새도 역하고~...ㅠ ㅠ\n상인들 본인들이 생계를...더보기', '물건은많으나 주차.친절.신선도 다떨어짐\n하지만 몇몇 점포는 마트보다 나아\n단골로이용중', '싸고 맛있고 좋아요!', '이죄명의 보금자리?   아휴~~', '중간에 채소 파는 아줌마 카드 내닌까 안남는다고 현금달라고 징징 ~병방시장이 역쉬 친절하고 물건도 좋아서 멀어도 병방시장으로 갑니다', '계양은 인천의 전라도 같은 곳..', '계산시장 처음 방문해 고추가루와 참기름 사왔는데\n강매와 바가지쓴 기분 가격만 물었는데도 그냥 봉투에 담으려고 가져가서 아침이라 그냥 오기 그래서 그냥 구매후...더보기']"
계양구 계양산전통시장,,[]
계양구 작전시장,3.9,"['찐만이네 만두 찐입니다', '맛집탐방중 소화나시킬겸 걸어서 들어가봤는데,\n별로 볼것도 없고, 먹거리도 마땅히 없고, 화장실도 없고, 딱히 있는게 없네요~...', '작전시장은 다른가게는 많이 안보이는데 음식점이나 그런곳이 많이 있어서 배부르게 먹음', '최고에요', '계양산 시장을 이용하다가 처음으로 이용해 보았는데 우선 주차는 계양산 시장은 불편한데 공영주차장이 있어 편리하다. 주차요금은 블로그보고 공영주차장을 이용했는데 시장이용하고 주차권을 받아와야 1시간 무...더보기']"
남동구 간석자유시장,3.2,"['먹거리가 많습니다.', '떡이 가격이 저렴하고 넘 맛나유!', '구경만해본']"
남동구 남동산업용품상가,,[]
남동구 구월시장,4.3,"['나쁘지 않음. 지붕 ?? 큰 반찬 가게 ??', '모래내시장과 붙어 있음\n모래내는 야외라면 이곳은 지붕있는 실내같은 분위기', '잘만 다니면 저렴하게 쇼핑할수있고, 이용하는 사람들도 많아요 :)']"
남동구 인천모래내전통시장,4.5,"['그럭 저럭', '용현시장이랑 신기시장만 이용했는데 규모가 어마어마하게 크고 가짓수가 정말 다양하고 선입선출이 잘돼서 그런지 과일이나 생선이 하나같이 싱싱해요 다만 평일에도 손님들이 많아서 붐비니까 그점 주의하셔서 가시면 좋을거같네요', '친절히 알려주셔서 감사해요', '골목맛집 많음', '시장  의외로 큼\n가격 저렴함\n주차장은 ...더보기', '말이필요없씀. 한번꼭오세요', '시장에는 다른곳에 비해 가격이 저렴하기도 하고,\n시장 주변에 다양한 음식점이 많아서 좋은거 같아요????', '없는거 빼고 다있어요', '.', '시장이 크다고해서 나들이겸 방문했어요 시장분들이 모두 친절하시고 가격도 저렴해서 만두 호떡 송편 과일이랑 찹쌀꽈배기까지~~ㅎㅎ\n멀리서갔지만 재밌게 구경하고 왔습니다~']"
남동구 구월도매전통시장,5,[]
남동구 소래포구전통어시장,2.4,"['종합어시장 갔다 갔는데 훨 나았음', '볼거 많고 먹을꺼리는 더 많고 아주 최곱니다.', '건물 안에 번호 붙은 매장 만 전통어시장임\n남동구청에서 규제하고 문제 있으면 퇴출 등 관리함.\n...더보기', '눈탱이치려고 눈 시뻘겋게 뜨는 시장', '인천 어시장은 전라도에서 올라온 자들이 독차지하고 있는 상권이다', '달라졌다는 소문에 기대를 갖고 형제들 부부 8명이 오랫만에 방문하였는데, 달라진게 아무 것도 없었다. 2군데에서 회와 해물을 샀는데 어떻하면 눈텡이 칠까하는게 보인다. 회떠서 식당으로 갔...더보기', '여기가 예전 소래 시장이라 더 다양하고 좋은 듯하네요!', '감기를 얻어왔지만 맛은 좋았다', '금일  집사람의 실수로 먹음직스러운 갈치를 맞보지 못할뻔 했는데,,,\n소래포구전통어시장 순경호 1층 202호 박 * * 사장님의 친절한 응...더보기', '야바위꾼들이 운영한다능그곳', '전보다 훨씬 깨끗하고 정돈된 느낌이에요 . \n상인들고 친절하시고 상품도 많아서 좋아요', '사기치는거 걸릴까봐 촬영할꺼면 알려달라는 수준 ○○○들이 운영하는곳', '소래포구는 새우튀김먹으러나가지 회사러 절대안가요 무슨 대게2마리가 40만원가까이나오냐? 연안부두가고말지']"
남동구 만수시장,4.1,"['규모가 매우 적은 전형적인 옛날시장', '이런거때문에 발전이없는동네\n개발됐어도 진작됐을텐데 아직도 다무너져가는 7 80년대 분위기 유지중']"
남동구 장승백이전통시장,2.3,"['오래됨.', '오전11시 아무리 평일이라지만 시장에 문연가게가 손에 꼽을정도네요 ㅜ', '장승백이시장']"
동구 인천산업용품유통센터,,[]
동구 송림공구상가,,[]
동구 송현시장,5,[]
동구 송현자유시장,,[]
미추홀구 인천용남시장,4,[]
미추홀구 용현시장,4.1,"['용현시장이 크고 깨끗합니다.\n멸치도 사고 김밥이 너무 맛있게 보여 샀는데 진짜 맛나게 먹었네요~ 전국 재래시장은 지나치지 않으려 열...더보기', '여기 닭강정이 너무 맜있어요!\n별점 10점!', '인정 많은 사장님들~ 맛있는 곳도 찾아보면 곳곳에 있어요~~~다만 신호등이 멀어 불만이고 단속이 심해 사람들이 많이 없고 시장 활성화를 안시키는 구청, 시장상인회등...더보기', '잘 정리된 시장', '용현시장이불가게 쿠션커버 샀어요.', 'ㅠ  ㅣㅜㅑㅑㅑ\n운연동', '먹거리 맛집 쵝오!', '버스번호 노선\n도착노선 정확하게 시정 ...더보기']"
미추홀구 토지금고시장,4.9,"['인천용현동시장', '둣', '시장주변 식당 되게 많고 깔끔하던데요', '토지금고입구  제과점  맛좋은빵 가득좋인요', '괜찮은 시장입니당~', '시장입구쪽 씨앗젓갈 맛있??']"
미추홀구 석바위시장,4.3,"['석바위시장에서 즉석에서 구운 파래김 유명하다고 해서 사서 먹어 봤는데 진짜 맛있어요~ 다음에 또 구매할게요??', '재래시장이라 요즘 불황을 체감.\n품목도 평이한데다 왕래하는 사람도 많지 않다.\n백 미터 남짓한 제일 큰 통로에도 사람이 없는데 ...더보기', '저렴하고 물건 다양하고\n구경거리 살거리 많음', '인천에서 제일 시장같은 시장!!!', '가격이 좋고 맛있었어요.', '그냥저냥', '녹차호떡집 (전 어묵튀김팔던곳)\n줄 세명서있길래 하나달라하니깐 1시간 기다리라고함 ㅋㅋ 팔기싫음 말을 하지말던가 할머니 호떡집 닫아서 글로갔...더보기', '살거리 볼거리 많아요...']"
미추홀구 신기시장,4.5,"['신기촌시장 떡집에 현미가래떡 구매하러 다녀왔어요.\n주말에만 판매하신다는데 요즘 품절이 빨리 되더라구요.\n버스정류장에서 가까워서 찾기도 쉽고 맛있는 음식 구매할 수 있어서 좋아요', '규모가 큰 시장이어서 야채, 고기, 떡, 전, 잡화 등 상품을 다양하게 진열하고 있어 아무때나 가도 원하는 물품을 손쉽게 구입할 수 있어서 좋음\n단,  설이나 추석명절 연휴에는 휴업하는 가게가 많으니 참고하세요~', '과일가게에서  카드가격을 찍을때 고의로 천원을 더 찍는 사기를 침. 한번은 떡집에서 그러는걸 목격함.영수증보고 말하니까 실수로 그랬다고 거짓말함. 신기시장 ...더보기', '규모가 그리 크진 않고 이곳때문에 주변 교통이 엉망이지만.. 있을 만 한건 다 있는 알짜배기 시장임.', '인천에서 제일 조아하는 시장입니다 가면 핫바 옥수수 떡 꼭 사요']"
미추홀구 인천남부종합시장,1.5,"['바로 옆 신기시장과 비교하면 좀 초라한..', '2024.02.11 시장 화재 뉴스났던곳']"
미추홀구 학익시장,4.8,[]
