시장코드,시장명,지번주소,도로명주소,시도,시군구,시장개설주기,점포수,개설연도,취급품목,아케이드,엘리베이터/에스컬레이터,고객지원센터,스프링쿨러,화재감지기,유아놀이방,종합콜센터,고객휴게실,수유센터,물품보관함,자전거보관함,체육시설,간이도서관,쇼핑카트,외국인안내센터,고객동선통로,방송센터,문화교실,공동물류창고,시장전용고객주차장,교육장,회의실,자동심장충격기,공중화장실,주차장,위도,경도,전화번호
a42010025,중앙메가프라자,대전광역시 동구 원동 42-1,대전광역시 동구 중앙로 200번길 99,대전광역시,동구,매일,151,1973,원단,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,36.3267328,127.4339543,042-253-1550
a42010027,전통중앙도매상가,대전광역시 동구 원동 20-49,대전광역시 동구 대전로 785,대전광역시,동구,매일,148,2011,가정용품,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,36.32983375,127.4337042,042-222-2989
a42010029,정원시장,대전광역시 동구 원동 64-1,대전광역시 동구 중앙로 194번길 33,대전광역시,동구,매일,90,2017,농산물+축산물,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,36.32910635,127.4316555,042-253-7782
a42010002,대전상가시장,대전광역시 동구 인동 52-1,대전광역시 동구 충무로 185,대전광역시,동구,매일,25,1973,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,36.32178451,127.4366553,042-284-0052
a42010001,대전도매시장,대전광역시 동구 중동 76-1,대전광역시 동구 대전로 785번길,대전광역시,동구,매일,43,1962,농산물+가공식품+의류+가정용품+소매업,Y,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,36.33020609,127.4329155,042-257-3752
a42010020,중앙상가시장,대전광역시 동구 중동 28-45,대전광역시 동구 대전로791번길 38,대전광역시,동구,매일,200,1962,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,36.32961777,127.4311303,042-257-3752
a42030004,한민시장,대전광역시 서구 괴정동 88-34,대전광역시 서구 도솔로 308번길 27,대전광역시,서구,매일,240,1981,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,36.33461781,127.3840015,042-522-9094
a42030001,도마큰시장,대전광역시 서구 도마동 132-13,대전광역시 서구 도마4길 71,대전광역시,서구,매일,430,1972,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,36.31580962,127.381368,042-531-8889
a42040002,송강전통시장,대전광역시 유성구 송강동 49-10,대전광역시 유성구 구즉로 74-7,대전광역시,유성구,매일,57,,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,36.43519796,127.3866018,042-932-3113
a42020001,문창전통시장,대전광역시 중구 문창동 116-8,대전광역시 중구 보문로 20번길 22,대전광역시,중구,매일,204,1967,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,36.31551575,127.4381793,042-272-8903
a42020007,부사전통시장,대전광역시 중구 부사동 148-6,대전광역시 중구 대종로316번길 16,대전광역시,중구,매일,48,1990,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,36.31413817,127.4353766,
a42020002,산성뿌리전통시장,대전광역시 중구 산성동 285-1,대전광역시 중구 대둔산로 420,대전광역시,중구,매일,53,1991,농산물+축산물+수산물+가공식품+신발+음식점,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,36.30655402,127.3871238,042-583-3128
a42020003,오류전통시장,대전광역시 중구 오류동 162-16,대전광역시 중구 계룡로882번길 72,대전광역시,중구,매일,45,1985,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,36.32195799,127.407958,
a42020004,용두전통시장,대전광역시 중구 용두동 12-2,대전광역시 중구 계룡로 881번길 53,대전광역시,중구,매일,27,1962,농산물+축산물+가공식품+의류+음식점,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,36.32341318,127.4145695,
a42020005,유천전통시장,대전광역시 중구 유천동 303-10,대전광역시 중구 문화로 105번길 113,대전광역시,중구,매일,71,1982,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,36.31721058,127.3954494,
a42020006,태평전통시장,대전광역시 중구 태평동 333-8,대전광역시 중구 수침로 55번길 56,대전광역시,중구,매일,142,1980,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,36.32593972,127.3976994,042-536-8260
a41320001,세종대평시장,세종특별자치시 금남면 용포리 205-42,세종특별자치시 금남면 대평시장1길 17-2,세종특별자치시,세종시,5일+10일,79,1946,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,36.4672657,127.282063,044-867-3838
a43310004,부강전통시장,세종특별자치시 부강면 부강리 475-1,세종특별자치시 부강면 부강5길 18,세종특별자치시,세종시,5일+10일,92,1964,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,Y,36.52850118,127.3688876,044-863-4251
a41320002,전의왕의물시장,세종특별자치시 전의면 읍내리 236-2 전의시장고객편의시설,세종특별자치시 전의면 장터길33,세종특별자치시,세종시,2일+7일,81,1946,의류+음식점,N,N,Y,N,N,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,36.6777398,127.2058824,
a41320006,세종전통시장,세종특별자치시 조치원읍 정리 19-1,세종특별자치시 조치원읍 조치원8길 42,세종특별자치시,세종시,4일+9일,331,1931,농산물+축산물+수산물,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,36.59978855,127.3006053,044-868-4209
a41020001,공주산성시장,충청남도 공주시 산성동 190-1,충청남도 공주시 용당길 22,충청남도,공주시,1일+6일,567,1937,농산물+축산물+수산물+의류+음식점,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,36.45881265,127.1226143,041-856-5427
a41020002,유구시장,충청남도 공주시 유구읍 석남리 276-5,충청남도 공주시 유구읍 시장길 28,충청남도,공주시,3일+8일,72,1928,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,36.55270354,126.9518599,
d41020001,산성시장활성화구역,충청남도 공주시 중동 63,충청남도 공주시 국고개길 11,충청남도,공주시,매일,257,1937,의류+음식점+서비스업,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,36.4548805,127.1256762,041-854-0036
a41310001,금산수삼센타,충청남도 금산군 금산읍 중도리 24,충청남도 금산군 금산읍 인삼약초로 24,충청남도,금산군,2일+7일,292,1988,농산물+가공식품,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,36.10010156,127.4964497,041-754-3161
a41310002,금산금빛시장,충청남도 금산군 금산읍 하옥리 335-12,충청남도 금산군 금산읍 금산천길 98,충청남도,금산군,2일+7일,211,1981,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,36.09951247,127.490976,041-754-2376
a41310003,금산국제인삼시장,충청남도 금산군 금산읍 중도리 8-1,충청남도 금산군 금산읍 인삼약초로 45,충청남도,금산군,매일,203,1986,농산물,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,36.10191386,127.498346,041-752-1815
a41310005,중부프라자,충청남도 금산군 금산읍 상리 89-4,충청남도 금산군 금산읍 비범로 19,충청남도,금산군,매일,22,1981,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,N,Y,Y,36.10453057,127.4910218,041-753-9447
a41310008,금산인삼전통시장,충청남도 금산군 금산읍 중도리 531-1,충청남도 금산군 금산읍 건삼전1길 20-8,충청남도,금산군,2일+7일,110,2011,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,Y,Y,36.10045233,127.4921846,
a41310010,금산인삼쇼핑센타,충청남도 금산군 금산읍 중도리 9-1,충청남도 금산군 금산읍 인삼광장로 47,충청남도,금산군,매일,55,1993,농산물,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,36.1015148,127.4989542,041-751-2006
a41310004,금산약초시장,충청남도 금산군 중도리 31,충청남도 금산군 비단로 144,충청남도,금산군,매일,33,1992,농산물+가공식품,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,36.1003757,127.4954712,041-751-2089
a41310007,마전시장,충청남도 금산군 추부면 마전리 547-1,충청남도 금산군 추부면 마전1길 38,충청남도,금산군,4일+9일,15,1965,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,36.1906104,127.4669775,
a41060001,강경대흥시장,충청남도 논산시 강경읍 대흥리 17-8,충청남도 논산시 강경읍 대흥로 23- 1,충청남도,논산시,4일+9일,105,1955,농산물+축산물+수산물,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,36.15597686,127.0136799,041-7745-5130
a41060002,강경젓갈시장,충청남도 논산시 강경읍 황산리 198,충청남도 논산시 강경읍 금백로 45,충청남도,논산시,매일,130,1989,수산물+가공식품,Y,N,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,36.15755625,127.0098063,
a41060003,화지중앙시장,충청남도 논산시 화지동 49,충청남도 논산시 중앙로492번길  20,충청남도,논산시,매일,314,1950,농산물+축산물+수산물+의류,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,36.20691048,127.0852797,041-735-3311
a41060008,연산전통시장,충청남도 논산시 연산면 연산리 394-1,충청남도 논산시 연산면 연산4길 10-8,충청남도,논산시,5일+10일,55,1911,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,36.21620753,127.2164929,
a41390002,당진전통시장,충청남도 당진시 읍내동 145-13,충청남도 당진시 당진시장길 100,충청남도,당진시,5일+10일,192,1974,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,36.88993159,126.6296051,041-357-4223
a41390005,합덕전통시장,충청남도 당진시 합덕읍 운산리 253-47,충청남도 당진시 합덕읍 버그내2길 128-42,충청남도,당진시,1일+6일,64,1985,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,36.80617206,126.7719672,
a41030007,보령중앙시장,충청남도 보령시 대천동 331-7,충청남도 보령시 대천동 중앙시장1길 2,충청남도,보령시,3일+8일,149,1960,수산물,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,36.35085519,126.5941055,041-936-4554
a41030008,보령한내시장,충청남도 보령시 대천동 197-1,충청남도 보령시 정화로길 13,충청남도,보령시,3일+8일,178,1960,농산물,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,36.34962615,126.5958262,041-931-8485
a41030011,대천항종합수산물시장,충청남도 보령시 신흑동 2240-7,충청남도 보령시 대천항로 370,충청남도,보령시,매일,117,1960,수산물,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,36.3266083,126.5061074,041-931-7087
a41330001,부여시장,충청남도 부여군 부여읍 구아리 432,충청남도 부여군 부여읍 성왕로173번길 12,충청남도,부여군,5일+10일,86,1916,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,36.28149721,126.9075601,041-832-0113
a41330002,부여중앙시장,충청남도 부여군 부여읍 구아리 164-1,충청남도 부여군 부여읍 중앙로13번길 14-3,충청남도,부여군,매일,70,1945,농산물+축산물+수산물,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,36.28191921,126.9121344,041-835-7710
a41330008,부여 새시장,충청남도 부여군 부여읍 구아리 395-7,충청남도 부여군 부여읍 부여로 12,충청남도,부여군,5일+10일,70,1916,농산물+가공식품+의류+신발+가정용품+음식점,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,36.28098513,126.9096533,
a41330007,홍산시장,충청남도 부여군 홍산면 남촌리 134-2,충청남도 부여군 홍산면 홍산시장로 45-10,충청남도,부여군,2일+7일,50,1928,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,36.21390559,126.7576014,
a41050001,대산종합시장,충청남도 서산시 대산읍 대산리 119,충청남도 서산시 대산읍 충의로 1942,충청남도,서산시,매일,64,2000,의류+신발+가정용품+음식점,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,36.93800832,126.4339406,041-681-7845
a41050002,서산동부전통시장,충청남도 서산시 동문동 900-3,충청남도 서산시 시장5로 15,충청남도,서산시,매일,245,1956,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,36.78186159,126.4564473,041-665-5478
a41050003,해미시장,충청남도 서산시 읍내리 202,충청남도 서산시 읍성마을2길 16,충청남도,서산시,매일,71,1924,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,36.71113111,126.5455722,041-688-3100
a41050004,해미종합시장,충청남도 서산시 읍내리 184-1,충청남도 서산시 해미면 남문1로 47  48 2동 ,충청남도,서산시,매일,46,1997,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,36.71129685,126.5465002,041-688-7757
a41340002,서천특화시장,충청남도 서천군 서천읍 군사리 686-1,충청남도 서천군 서천읍 충절로 42,충청남도,서천군,2일+7일,336,2004,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,36.07502677,126.6868171,041-951-1445
a41340003,장항전통시장,충청남도 서천군 장항읍 신창리 110,충청남도 서천군 장항읍 성화로 104,충청남도,서천군,3일+8일,105,2010,수산물+음식점,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,36.01556607,126.6945736,041-957-0435
a41040002,둔포전통시장,충청남도 아산시 둔포면 둔포리 450-8,충청남도 아산시 둔포면 둔포면로 25번길 15,충청남도,아산시,2일+7일,155,1960,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,36.9294758,127.0360407,
a41040003,온양온천시장,충청남도 아산시 온천동 94-6,충청남도 아산시 시장길 29,충청남도,아산시,4일+9일,377,1974,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,36.78329506,127.0042346,041-534-2008
a41370001,고덕시장,충청남도 예산군 고덕면 대천리 783-3,충청남도 예산군 고덕면 용고길 342,충청남도,예산군,3일+8일,30,1961,농산물+축산물+수산물+가공식품+의류+신발+음식점+근린생활서비스,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,36.74392062,126.7052158,
a41370002,광시시장,충청남도 예산군 광시면 광시리 87-1,충청남도 예산군 광시면 예당로 165-22,충청남도,예산군,3일+8일,10,1925,농산물+축산물,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,36.54911843,126.7744244,041-332-1190
a41370006,예산상설시장,충청남도 예산군 예산리 333-1,충청남도 예산군 형제고개로 967,충청남도,예산군,5일+10일,100,1981,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,36.67696718,126.8499667,041-333-3318
a41370007,예산시장,충청남도 예산군 예산읍 예산리 333-1,충청남도 예산군 예산읍 형제고개로 967,충청남도,예산군,5일+10일,,1926,농산물+축산물+수산물+의류+신발+잡화,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,36.67723471,126.8494508,041-333-3318
a41010001,천안역전시장,충청남도 천안시 동남구 대흥동 63-3,충청남도 천안시 동남구 공설시장1길 9,충청남도,천안시,매일,120,1955,농산물+축산물+의류+가정용품+음식점,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,36.80990757,127.1489083,041-522-9954
a41010002,천안중앙시장,충청남도 천안시 동남구 사직동263  사직2길 19 ,충청남도 천안시 동남구 사직로 7,충청남도,천안시,매일,520,1918,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,36.80071908,127.1493019,041-553-1135
a41010004,병천시장,충청남도 천안시 동남구 병천면 병천리 163-2,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도,천안시,1일+6일,160,1918,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,36.76242249,127.298161,
a41010005,성환이화시장,충청남도 천안시 서북구 성환읍 성환리 449-1111,충청남도 천안시 서북구 성환읍 성환중앙로 50,충청남도,천안시,1일+6일,88,1914,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,36.91810627,127.1309131,
a41010011,성정시장,충청남도 천안시 서북구 성정동 736-7  양지21길 31 ,충청남도 천안시 서북구 양지21길 31,충청남도,천안시,매일,71,1988,농산물+축산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,36.81267105,127.1392027,070-4232-8259
a41350003,청양전통시장,충청남도 청양군 읍내리 178-4,충청남도 청양군 칠갑산로6길 6,충청남도,청양군,2일+7일,53,1971,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,36.45048364,126.8018476,041-942-8441
a41350002,정산시장,충청남도 청양군 정산면 서정리 163,충청남도 청양군 정산면 정현길 54,충청남도,청양군,5일+10일,104,1919,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,36.41059786,126.9480121,041-942-0833
a41380002,태안동부시장,충청남도 태안군 동문리 284,충청남도 태안군 시장4길 32,충청남도,태안군,3일+8일,99,1918,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,36.75151879,126.298721,041-675-5797
a41380001,안면도수산시장,충청남도 태안군 안면읍 승언리 1249,충청남도 태안군 안면읍 장터로 104,충청남도,태안군,매일,42,1955,수산물,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,36.51635222,126.3460071,041-673-0136
a41380003,태안서부시장,충청남도 태안군 태안읍 남문리 169-7,충청남도 태안군 남문리 시장2길 38-4,충청남도,태안군,매일,154,1975,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,36.75319167,126.2966565,041-672-2151
a41360001,갈산전통시장,충청남도 홍성군 갈산면 상촌리 240-16,충청남도 홍성군 갈산면 상촌로 29,충청남도,홍성군,3일+8일,51,1943,농산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,36.6036997,126.5505509,
a41360002,광천전통시장,충청남도 홍성군 광천읍 광천리 230-32,충청남도 홍성군 광천읍 광천로 285,충청남도,홍성군,4일+9일,171,1926,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,36.4998307,126.6252434,
a41360007,광천문화시장,충청남도 홍성군 광천읍 광천리 185-27,충청남도 홍성군 광천읍 광천로323번길 15-1 일원,충청남도,홍성군,4일+9일,157,1926,농산물+축산물+가공식품+의류+신발+가정용품+음식점,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,36.50232616,126.6250081,041-641-4163
a41360003,홍성상설시장,충청남도 홍성군 홍성읍 오관리 397-6,충청남도 홍성군 홍성읍 아문길 60,충청남도,홍성군,매일,89,1981,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,36.59973826,126.6637095,041-632-4333
a41360004,홍성전통시장,충청남도 홍성군 홍성읍 대교리 400-1,충청남도 홍성군 홍성읍 홍성천길 242,충청남도,홍성군,1일+6일,220,1943,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,36.60214738,126.6680243,041-632-8833
a43360001,괴산전통시장,충청북도 괴산군 괴산읍 동부리 560-1,충청북도 괴산군 괴산읍 읍내로 15길8-8,충청북도,괴산군,3일+8일,148,1970,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+제조,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,36.81122141,127.795017,043-832-0250
a43360002,목도재래시장,충청북도 괴산군 불정면 목도리 308-9,충청북도 괴산군 불정면 목도로4길 11,충청북도,괴산군,4일+9일,72,1970,농산물+축산물+수산물+가공식품+가정용품+음식점,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,36.87204723,127.8530539,
a43360004,연풍전통시장,충청북도 괴산군 연풍면 행촌리 611-1,충청북도 괴산군 연풍면 향교로홍문길 5,충청북도,괴산군,2일+7일,72,1970,농산물+축산물+가공식품+음식점,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,36.76472436,127.9951069,
a43360005,청천전통시장,충청북도 괴산군 청천면 청천리 62-11,충청북도 괴산군 청천면 청천2길 10,충청북도,괴산군,5일+10일,104,1964,농산물+음식점,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,36.65914155,127.7378523,043-834-6636
a43380001,단양구경시장,충청북도 단양군 단양읍 도전리 615,충청북도 단양군 단양읍 도전5길 31,충청북도,단양군,1일+6일,120,1985,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,36.9824892,128.3699866,043-422-1706
a43380002,매포전통시장,충청북도 단양군 매포읍 평동리 1139,충청북도 단양군 매포읍 평동24길 8,충청북도,단양군,4일+9일,62,1992,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,Y,37.03422177,128.2990703,043-422-8181
a43320001,마로관기시장,충청북도 보은군 마로면 관기리 377-1,충청북도 보은군 마로면 관기3길 6-7,충청북도,보은군,4일+9일,40,1964,농산물+축산물+가공식품+의류+가정용품+음식점,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,36.43524115,127.8175958,
