시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
도계부부시장,상설장,경상남도 창원시 의창구 원이대로 69번길 20,경상남도 창원시 의창구 도계동 400-1,매일,35.25721522,128.6371383,99,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+미용실,,,Y,Y,2007,055-277-5006,2024-11-04,B553077,소상공인시장진흥공단
명서시장,상설장,경상남도 창원시 의창구 원이대로189번길 42,경상남도 창원시 명서동 75-1,매일,35.24935473,128.6465712,184,농산물+축산물+수산물+가공식품+신발+가정용품+음식점+병원,,https://msmarket.kr,Y,Y,2005,055-265-3536,2024-11-04,B553077,소상공인시장진흥공단
소답시장,상설장+5일장,경상남도 창원시 의창구 읍성로33번길 8,경상남도 창원시 의창구 북동 229-5,2일+7일,35.26563899,128.6212756,54,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+미용실,,,Y,Y,2012,055-253-3384,2024-11-04,B553077,소상공인시장진흥공단
북동공설시장,상설장,경상남도 창원시 의창구 의안로 49번길 30,경상남도 창원시 의창우 북동 249-1,매일,35.26617837,128.6206956,46,농산물+축산물+가공식품+음식점+사무실,,,Y,Y,2001,055-299-3108,2024-11-04,B553077,소상공인시장진흥공단
지귀시장,상설장+5일장,경상남도 창원시 의창구 지귀로119번길 6,경상남도 창원시 의창구 봉곡동 61-4,1일+6일,35.24568147,128.6588339,70,농산물+축산물+수산물+가공식품+음식점,,,Y,N,2014,,2024-11-04,B553077,소상공인시장진흥공단
창원기계공구상가,상설장,경상남도 창원시 의창구 창원대로 400,경상남도 창원시 팔용동 16-1,매일,35.23376619,128.6410715,214,공구,,,Y,Y,1993,055-238-0598,2024-11-04,B553077,소상공인시장진흥공단
봉곡프라자상가,상설장,경상남도 창원시 의창구 창이대로205번길 5,경상남도 창원시 의창구 봉곡동61-10,매일,35.24543773,128.659521,80,농산물+축산물+수산물+가공식품+의류+가정용품+음식점+학원,,,Y,Y,1994,,2024-11-04,B553077,소상공인시장진흥공단
경화시장,상설장+5일장,경상남도 창원시 진해구 경화로 38번길,경상남도 창원시 진해구 경화동 906,3일+8일,,,140,농산물+축산물,,,Y,Y,1955,,2024-11-04,B553077,소상공인시장진흥공단
진해중앙시장,상설장,경상남도 창원시 진해구 벚꽃로 60번길 25,경상남도 창원시 진해구 화천동 60-1,매일,35.15106741,128.6656454,324,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1946,055-547-7990,2024-11-04,B553077,소상공인시장진흥공단
마천시장,5일장,경상남도 창원시 진해구 웅동로 57번가길 7,경상남도 창원시 진해구 마천동 134-6,5일+10일,35.12557099,128.7822355,24,농산물+수산물+가공식품+의류+신발+가정용품,,,Y,Y,1958,,2024-11-04,B553077,소상공인시장진흥공단
웅천시장,5일장,경상남도 창원시 진해구 웅천중로56번길 8,경상남도 창원시 진해구 성내동 327,4일+9일,35.11102245,128.7509028,,농산물+축산물+수산물+가공식품+의류+가정용품,,,Y,Y,1958,,2024-11-04,B553077,소상공인시장진흥공단
중부시장,상설장,경상남도 창원시 진해구 중초로 20,경상남도 창원시 진해구 경화동 1164-1,매일,35.15506526,128.6815616,107,농산물+가공식품+음식점,,,Y,Y,1977,,2024-11-04,B553077,소상공인시장진흥공단
대동그린코아상가,상설장,경상남도 창원시 창원천로 288,경상남도 창원시 반지동 23,매일,35.24497074,128.6698819,74,의류+음식점+학원가,,,Y,Y,1991,055-277-0999,2024-11-04,B553077,소상공인시장진흥공단
합성대로상가,상설장,경상남도 창원시 회원구 3 15대로 745,경상남도 창원시 회원구 합성동 85-14,매일,35.2386927,128.5824458,33,의류+신발+가정용품+음식점,,,N,N,2018,055-252-3646,2024-11-04,B553077,소상공인시장진흥공단
코오롱타운상가,상설장,경상남도 창원시 회원구 내서읍 호원로361-2,경상남도 창원시 회원구 내서읍 호계리 10,매일,35.26630543,128.5249843,72,가공식품+의류+가정용품+음식점+당구장,,,Y,Y,2002,,2024-11-04,B553077,소상공인시장진흥공단
양덕중앙시장,상설장,경상남도 창원시 회원구 양덕북10길 23,경상남도 창원시 회원구 양덕동 15-1,매일,35.23264857,128.5842725,111,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,,Y,N,1982,,2024-11-04,B553077,소상공인시장진흥공단
합성동상가,상설장,경상남도 창원시 회원구 합성옛길136,경상남도 창원시 회원구 합성동 125-3,매일,35.23772413,128.5834595,74,축산물+가공식품+의류+음식점,,,Y,Y,2011,,2024-11-04,B553077,소상공인시장진흥공단
북신전통시장,상설장,경상남도 통영시 북신시장1길 66,경상남도 통영시 북신동 665-16,매일,34.85415943,128.4275287,136,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://복신시장.kr,Y,Y,1986,055-641-0032,2024-11-04,B553077,소상공인시장진흥공단
서호전통시장,상설장,경상남도 통영시 새터길 58-9,경상남도 통영시 서호동 163-42,매일,34.84146566,128.4201161,240,농산물+축산물+수산물,,,Y,Y,1984,055-645-3024,2024-11-04,B553077,소상공인시장진흥공단
통영중앙전통시장,상설장+5일장,경상남도 통영시 중앙시장1길14-16,경상남도 통영시 중앙동 38-4,2일+7일,34.84529762,128.4246206,275,농산물+수산물+의류+음식점,,,Y,Y,1980,055-549-5225,2024-11-04,B553077,소상공인시장진흥공단
북천공설시장,5일장,경상남도 하동군 경서대로 2427-14,경상남도 하동군 북천면 직전리 597-1,4일+9일,35.1137211,127.8919908,20,농산물+수산물+의류+음식점+미용실 철물,,,Y,Y,1949,,2024-11-04,B553077,소상공인시장진흥공단
계천공설시장(계천시장),5일장,경상남도 하동군 금남면 섬진강대로 977-17,경상남도 하동군 금남면 계천리 355-3,5일+10일,34.9959861,127.8094975,35,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1962,,2024-11-04,B553077,소상공인시장진흥공단
옥종공설시장,5일장,경상남도 하동군 옥종면 옥종사장길 5,경상남도 하동군 옥종면 청룡리,3일+8일,,,36,농산물+수산물+의류+신발+가정용품+음식점,,,Y,Y,1953,,2024-11-04,B553077,소상공인시장진흥공단
진교공설시장,상설장+5일장,경상남도 하동군 진교면 선창길 24,경상남도 하동군 진교면 진교리302-4,3일+8일,35.02717394,127.9038204,52,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1955,055-844-5033,2024-11-04,B553077,소상공인시장진흥공단
하동공설시장,상설장+5일장,경상남도 하동군 하동읍 시장 1길 12-2,경상남도 하동군 하동읍 읍내리 258-1,2일+7일,35.06980844,127.7483806,150,농산물+축산물+수산물+가공식품+의류+신발+가정용품,,,Y,Y,1977,055-884-2312,2024-11-04,B553077,소상공인시장진흥공단
화개장터,상설장,경상남도 하동군 화개면 쌍계로 21,경상남도 하동군 화개면 탑리 726-10,매일,35.18862637,127.6242177,76,농산물+가공식품+음식점+잡화,,,Y,Y,2000,055-883-5722,2024-11-04,B553077,소상공인시장진흥공단
횡천공설시장(횡천시장),상설장+5일장,경상남도 하동군 횡천면 문화2길 24,경상남도 하동군 횡천면 횡천리 507-2,5일+10일,35.10921398,127.8107034,18,농산물+가공식품+가정용품+음식점+철물점,,,Y,Y,1965,,2024-11-04,B553077,소상공인시장진흥공단
가야상설시장(가야시장),상설장+5일장,경상남도 함안군 가야읍 가야8길8,경상남도 함안군 가야읍 말산리 470-1,5일+10일,35.27725861,128.4064722,89,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,,,Y,Y,1965,,2024-11-04,B553077,소상공인시장진흥공단
군북공설시장,5일장,경상남도 함안군 군북면 중암8길 27,경상남도 함안군 군북면 중암리83-16,4일+9일,35.26104644,128.3469542,20,농산물+축산물+수산물+가공식품+의류,,,Y,Y,1965,,2024-11-04,B553077,소상공인시장진흥공단
대산공설시장,5일장,경상남도 함안군 대산면 대산중앙로 219,경상남도 함안군 대산면 구혜리221-3,1일+6일,35.35283551,128.4281217,25,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1980,,2024-11-04,B553077,소상공인시장진흥공단
칠원공설시장,5일장,경상남도 함안군 칠원면 서남3길14,경상남도 함안군 칠원면 구성리 734-7,3일+8일,35.30569015,128.5191927,19,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1965,,2024-11-04,B553077,소상공인시장진흥공단
서상전통시장(서상시장),5일장,경상남도 함양군 서상면 서상로 266,경상남도 함양군 서상면 도천리 1074-5,4일+9일,35.67988159,127.6884879,6,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2006,,2024-11-04,B553077,소상공인시장진흥공단
안의시장,5일장,경상남도 함양군 안의면 약초시장길 25-10,경상남도 함양군 안의면 석천리 243,5일+10일,35.62629354,127.8140359,10,농산물+수산물+가공식품+의류+신발+가정용품,,,Y,Y,1997,,2024-11-04,B553077,소상공인시장진흥공단
함양토종약초시장,상설장,경상남도 함양군 안의면 약초시장길 27,경상남도 함양군 안의면 이전리 15,매일,35.62596226,127.8137124,23,농산물,,,Y,Y,2006,,2024-11-04,B553077,소상공인시장진흥공단
지리산함양시장,상설장+5일장,경상남도 함양군 함양읍 용평 중앙길 20,경상남도 함양군 함양읍 용평리 607-104,2일+7일,35.5186005,127.7289877,130,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1983,055-963-2461,2024-11-04,B553077,소상공인시장진흥공단
가야시장,5일장,경상남도 합천군 가야면 가야시장로 63-15,경상남도 합천군 가야면 황산리 17-1,5일+10일,35.76024552,128.1383663,48,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1942,,2024-11-04,B553077,소상공인시장진흥공단
삼가시장,상설장+5일장,경상남도 합천군 삼가면 일부5길 1,경상남도 합천군 삼가면 일부리 921-1,2일+7일,35.41281571,128.1222817,92,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1956,,2024-11-04,B553077,소상공인시장진흥공단
야로시장,5일장,경상남도 합천군 야로면 야로시장길 7-5,경상남도 합천군 야로면 구정리 273-4,2일+7일,35.70612649,128.168565,32,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1939,,2024-11-04,B553077,소상공인시장진흥공단
초계시장,상설장+5일장,경상남도 합천군 초계중앙로 61,경상남도 합천군 초계리 50-1,5일+10일,35.5593151,128.2668387,62,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1930,,2024-11-04,B553077,소상공인시장진흥공단
합천시장,상설장+5일장,경상남도 합첩군 합천읍 옥산로 53,경상남도 합첩군 합천읍 합천리473-1,3일+8일,,,159,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1985,055-932-0063,2024-11-04,B553077,소상공인시장진흥공단
경산공설시장,상설장+5일장,경상북도 경산시 경안로31길 19,경상북도 경산시 서상동 10,5일+10일,35.82052133,128.735749,200,농산물+수산물+가공식품+의류+신발+음식점,,https://gyeongsan.wizweb.kr,Y,Y,1956,053-816-9933,2024-11-04,B553077,소상공인시장진흥공단
자인공설시장,상설장+5일장,경상북도 경산시 자인면 자인로 206-4,경상북도 경산시 자인면 서부리 254,3일+8일,35.81649983,128.8229427,54,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,,,Y,Y,1969,,2024-11-04,B553077,소상공인시장진흥공단
하양공설시장,상설장+5일장,경상북도 경산시 하양읍 대학로 1543,경상북도 경산시 하양읍 금락리 35-6,4일+9일,35.91562378,128.8192553,109,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://hymarket.modoo.at/,Y,Y,1931,053-856-0202,2024-11-04,B553077,소상공인시장진흥공단
감포시장,상설장+5일장,경상북도 경주시 감포로115,경상북도 경주시 감포리 436-1,3일+8일,35.80410761,129.502011,54,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1959,054-771-1102,2024-11-04,B553077,소상공인시장진흥공단
건천시장,상설장+5일장,경상북도 경주시 건천읍 내서로 1131-1,경상북도 경주시 건천읍 건천리 339-4,5일+10일,35.84830099,129.1048124,40,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1914,,2024-11-04,B553077,소상공인시장진흥공단
경주중앙시장,상설장+5일장,경상북도 경주시 금성로 295,경상북도 경주시 성건동 339-2,2일+7일,35.84395286,129.2067435,745,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,www.gjcentermarket.com,Y,Y,1983,054-772-5322,2024-11-04,B553077,소상공인시장진흥공단
북부상가시장,상설장+5일장,경상북도 경주시 금성로 396번길 7,경상북도 경주시 성건동 629-10,2일+7일,35.8534885,129.2075834,118,음식점,,,Y,Y,2011,,2024-11-04,B553077,소상공인시장진흥공단
북정로중심상가시장,상설장,경상북도 경주시 북정로 15,경상북도 경주시 황오동 242-4,매일,35.84229272,129.2151854,130,가공식품+의류+신발+가정용품+음식점,,,Y,Y,1960,,2024-11-04,B553077,소상공인시장진흥공단
불국시장,상설장+5일장,경상북도 경주시 불국로 장터길 24,경상북도 경주시 구정동 429-7,4일+9일,35.77575677,129.3011741,34,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1965,,2024-11-04,B553077,소상공인시장진흥공단
서면시장,5일장,경상북도 경주시 서면 내서로 401-5,경상북도 경주시 서면 아화리 240-2,5일+10일,35.89506107,129.0480446,17,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1929,,2024-11-04,B553077,소상공인시장진흥공단
안강공설시장,상설장+5일장,경상북도 경주시 안강읍 비화중로 3길 26-3,경상북도 경주시 안강읍 양월리 1350-1,4일+9일,35.9903076,129.2217101,386,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1923,,2024-11-04,B553077,소상공인시장진흥공단
양북시장,상설장+5일장,경상북도 경주시 양북면 감은로 53-8,경상북도 경주시 양북면 어일리 1295-556,5일+10일,35.79041062,129.4412131,38,농산물,,,Y,Y,1942,,2024-11-04,B553077,소상공인시장진흥공단
경주성동공설시장,상설장,경상북도 경주시 원화로 281번길 11-11,경상북도 경주시 성동동 51-1번지 일원,매일,35.84554647,129.2162805,587,농산물+음식점,,,Y,Y,1971,054-772-4226,2024-11-04,B553077,소상공인시장진흥공단
봉황중심상가시장,상설장,경상북도 경주시 원효로 89,경상북도 경주시 노동동 230,매일,35.84221396,129.2106571,510,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2010,,2024-11-04,B553077,소상공인시장진흥공단
불국사상가시장,상설장,경상북도 경주시 진현로1길 59-5,경상북도 경주시 진현동 66-5,매일,35.78599622,129.3278528,55,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1974,054-746-6666,2024-11-04,B553077,소상공인시장진흥공단
경주중심상가시장,상설장,경상북도 경주시 태종로 791번길16,경상북도 경주시 황오동 234-1,매일,35.84225687,129.2146864,285,의류,,,Y,Y,2008,054-774-5689,2024-11-04,B553077,소상공인시장진흥공단
황남상가시장,상설장,경상북도 경주시 포석로1058-7,경상북도 경주시 황남동 307-1,매일,35.83566075,129.2103092,51,농산물+의류,,,N,N,1969,054-701-0030,2024-11-04,B553077,소상공인시장진흥공단
양남시장,5일장,경상북도 경주시 하서중앙길 56-28,경상북도 경주시 하서리 1502,4일+9일,35.67521448,129.4638468,92,가공식품+음식점,,,Y,Y,1943,054-744-2008,2024-11-04,B553077,소상공인시장진흥공단
고령대가야시장,상설장+5일장,경상북도 고령군 대가야읍 시장3길29,경상북도 고령군 대가야읍 지산리 222-2,4일+9일,35.72730911,128.2666727,80,농산물+수산물+음식점,,,Y,Y,1983,054-954-5445,2024-11-04,B553077,소상공인시장진흥공단
제일시장상가,상설장,경상북도 구미시 1공단로 192,경상북도 구미시 공단동 264-18,매일,36.10172307,128.3841129,44,농산물+레코드 서점,,,Y,Y,1987,,2024-11-04,B553077,소상공인시장진흥공단
구미산업유통단지,상설장,경상북도 구미시 3공단1로 302-7,경상북도 구미시 임수동 92-9,매일,36.10987904,128.4026465,728,음식점+산업용 공구판매,,www.kumitool.co.kr,Y,Y,1995,054-473-4089,2024-11-04,B553077,소상공인시장진흥공단
현대유통쇼핑센타,상설장,경상북도 구미시 구미중앙로 61-6,경상북도 구미시 원평동 119-2,매일,36.1300276,128.3300461,78,가공식품+의류+신발+가정용품+음식점,,,Y,Y,1985,,2024-11-04,B553077,소상공인시장진흥공단
구미새마을중앙시장,상설장+5일장,경상북도 구미시 구미중앙로9길 11,경상북도 구미시 원평동 117-20 외,1일+6일,36.13085045,128.3297934,100,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1975,054-452-3611,2024-11-04,B553077,소상공인시장진흥공단
구미종합상가,상설장,경상북도 구미시 구미중앙로9길 14-6,경상북도 구미시 원평동 119-15,매일,36.13050981,128.3304431,54,의류+음식점,,,Y,Y,1985,,2024-11-04,B553077,소상공인시장진흥공단
종합제일시장,상설장,경상북도 구미시 구미중앙로9길 7,경상북도 구미시 원평동 118-31,매일,36.13031135,128.329651,59,농산물+축산물+수산물+가공식품+음식점,,,Y,Y,2006,,2024-11-04,B553077,소상공인시장진흥공단
금오시장,상설장,경상북도 구미시 금오시장로13,경상북도 구미시 원평동 1028-2,매일,36.12611615,128.3406025,125,음식점+판매시설,,,Y,Y,1985,,2024-11-04,B553077,소상공인시장진흥공단
선산봉황시장,상설장+5일장,경상북도 구미시 선산읍 단계동길 24,경상북도 구미시 선산읍 완전리 253,2일+7일,36.23951857,128.300921,314,축산물+가공식품+의류+가정용품+음식점,,,Y,Y,1994,,2024-11-04,B553077,소상공인시장진흥공단
구미파크시장,상설장,경상북도 구미시 송동로 154,경상북도 구미시 도량동 77,매일,36.14936268,128.3254726,39,축산물+가공식품+의류+가정용품+음식점,,,Y,Y,1994,,2024-11-04,B553077,소상공인시장진흥공단
구미공단종합시장,상설장,경상북도 구미시 수출대로3길107,경상북도 구미시 공단동 107,매일,36.12063838,128.3715387,43,가공식품+의류+가정용품+음식점,,,Y,Y,1983,,2024-11-04,B553077,소상공인시장진흥공단
인동시장,상설장+5일장,경상북도 구미시 인동중앙로5길 16-3,경상북도 구미시 황상동 307-7,2일+7일,36.10819473,128.4209289,126,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1989,,2024-11-04,B553077,소상공인시장진흥공단
장천시장,상설장+5일장,경상북도 구미시 장천면 상장5길 4,경상북도 구미시 장천면 상장리 918,5일+10일,36.12569593,128.4934096,52,농산물+의류+가정용품+음식점,,,Y,Y,1959,,2024-11-04,B553077,소상공인시장진흥공단
신평전통시장,상설장,경상북도 구미시 칠성로6길 48,경상북도 구미시 신평동 150-4,매일,36.12315363,128.361175,67,농산물+축산물+수산물+가공식품+의류+가정용품+음식점+근린생활서비스,,,Y,Y,2015,,2024-11-04,B553077,소상공인시장진흥공단
해평공설시장,5일장,경상북도 구미시 해평면 해평시장3길,경상북도 구미시 해평면 낙성리 138,4일+9일,,,85,농산물+의류+음식점,,,Y,Y,1959,,2024-11-04,B553077,소상공인시장진흥공단
형곡중앙시장,상설장,경상북도 구미시 형곡로 186,경상북도 구미시 형곡동 321,매일,36.10631862,128.3365202,76,농산물+축산물+수산물+가공식품+의류+가정용품+음식점+개인 사무실,,,Y,Y,1993,,2024-11-04,B553077,소상공인시장진흥공단
형곡시장프라자,상설장,경상북도 구미시 형곡서로 121,경상북도 구미시 형곡동 147-1,매일,36.11287628,128.3343324,100,가공식품+의류+신발+가정용품+학원,,,Y,Y,1992,054-452-9662,2024-11-04,B553077,소상공인시장진흥공단
평화시장,상설장+5일장,경상북도 김천시 김천로100,경상북도 김천시 평화동 259-1,5일+10일,36.12364342,128.1130862,106,농산물+축산물+수산물+의류+신발+가정용품+음식점,,,Y,Y,1977,054-432-2155,2024-11-04,B553077,소상공인시장진흥공단
부곡시장,상설장,경상북도 김천시 부곡시장2길 16,경상북도 김천시 부곡동 409-1번지 일원,매일,36.12583274,128.1042234,18,수산물+가공식품+음식점+제조,,,Y,Y,1980,,2024-11-04,B553077,소상공인시장진흥공단
중앙시장,상설장,경상북도 김천시 중앙시장4길 10,경상북도 김천시 모암동 157번지 일원,매일,36.11902271,128.125383,60,의류+신발+가정용품+음식점,,,Y,Y,1953,,2024-11-04,B553077,소상공인시장진흥공단
황금시장,상설장+5일장,경상북도 김천시 황금시장4길20,경상북도 김천시 황금동 31-1,5일+10일,36.11666261,128.1252827,175,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1964,,2024-11-04,B553077,소상공인시장진흥공단
가은아자개시장,상설장+5일장,경상북도 문경시 가은읍 가은5길 7,경상북도 문경시 가은읍 왕능리 275-26,4일+9일,36.64660911,128.0609864,95,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1981,,2024-11-04,B553077,소상공인시장진흥공단
문경전통시장,5일장,경상북도 문경시 문경읍 문희로 41-15,경상북도 문경시 문경읍 하리 88-2,2일+7일,36.73554396,128.1074789,66,농산물+축산물+수산물+가공식품+가정용품+음식점,,,Y,Y,1965,,2024-11-04,B553077,소상공인시장진흥공단
점촌전통시장 (구 신흥시장),상설장+5일장,경상북도 문경시 신흥시장길 19,경상북도 문경시 흥덕동 794-1,3일+8일,36.60139203,128.2041655,100,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1997,054-553-7780,2024-11-04,B553077,소상공인시장진흥공단
(유)문경시중앙시장,상설장,경상북도 문경시 중앙로 87,경상북도 문경시 점촌동 197-14,매일,36.59353126,128.1973386,43,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1997,054-555-2326,2024-11-04,B553077,소상공인시장진흥공단
문경중앙시장,상설장,경상북도 문경시 중앙시장길32-10,경상북도 문경시 흥덕동 794-1,매일,36.60139203,128.2041655,238,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1954,054-552-1123,2024-11-04,B553077,소상공인시장진흥공단
봉화내성시장,상설장+5일장,경상북도 봉화군 봉화읍 내성로5길 13 군민행복센터(1층),경상북도 봉화군 봉화읍 내성리 192-1,2일+7일,36.88898151,128.7394689,105,농산물+축산물+가공식품+신발+가정용품+음식점,,,Y,Y,1980,054-672-4800,2024-11-04,B553077,소상공인시장진흥공단
억지춘양시장,상설장+5일장,경상북도 봉화군 춘양면 의양로 60,경상북도 봉화군 춘양면 의양리 357-29,4일+9일,36.93636393,128.9130448,143,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1971,054-674-3808,2024-11-04,B553077,소상공인시장진흥공단
남성시장,상설장+5일장,경상북도 상주시 남성4길 43,,2일+7일,36.41440724,128.1621176,130,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,N,N,2019,,2024-11-04,B553077,소상공인시장진흥공단
상주중앙시장,상설장+5일장,경상북도 상주시 남성로35,경상북도 상주시 남성동 85-10,2일+7일,36.41319426,128.1608286,149,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,https://sjsijang.co.kr,Y,Y,1987,,2024-11-04,B553077,소상공인시장진흥공단
은척시장,상설장+5일장,경상북도 상주시 은척면 봉중1길 16-1,경상북도 상주시 은척면 봉중리383-2,4일+9일,36.53266774,128.0729549,35,농산물+축산물+의류+신발+가정용품+음식점,,,Y,Y,1968,,2024-11-04,B553077,소상공인시장진흥공단
풍물시장,상설장+5일장,경상북도 상주시 풍물시장길16,경상북도 상주시 남성동 113-28,2일+7일,36.41285383,128.1606228,60,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2013,,2024-11-04,B553077,소상공인시장진흥공단
함창시장,상설장+5일장,경상북도 상주시 함창읍 함창시장길4514,경상북도 상주시 함창읍 구향리 122,1일+6일,,,82,농산물+축산물+수산물+가공식품+가정용품+음식점,,,Y,Y,1951,,2024-11-04,B553077,소상공인시장진흥공단
화령시장,상설장+5일장,경상북도 상주시 화서면 화령남6길 7,경상북도 상주시 화서면 신봉3리 128-7,3일+8일,36.44479088,127.9506951,50,농산물+축산물+수산물+의류+신발+가정용품+음식점,,,Y,Y,1965,,2024-11-04,B553077,소상공인시장진흥공단
성주시장,상설장+5일장,경상북도 성주군 성주읍 시장길43,경상북도 성주군 성주읍 경산리 718-63,2일+7일,35.91446517,128.2851065,44,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1887,,2024-11-04,B553077,소상공인시장진흥공단
용상공설시장,상설장,경상북도 안동시 경동로 862,경상북도 안동시 용상동 1242,매일,36.55947454,128.7501611,69,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1976,054-821-0640,2024-11-04,B553077,소상공인시장진흥공단
안동서부시장,상설장+5일장,경상북도 안동시 대안로 22번지,경상북도 안동시 태화동 60-12,2일+7일,36.56527506,128.7149733,118,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1980,054-854-4554,2024-11-04,B553077,소상공인시장진흥공단
중앙신시장,상설장+5일장,경상북도 안동시 대안로98-15,경상북도 안동시 옥야동 285-1,2일+7일,36.56512446,128.7241627,421,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1970,054-842-0040,2024-11-04,B553077,소상공인시장진흥공단
안동구시장,상설장,경상북도 안동시 번영1길 55,경상북도 안동시 서부동 181-1,매일,36.56580955,128.7278751,266,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1946,054-858-9002,2024-11-04,B553077,소상공인시장진흥공단
북문시장,상설장+5일장,경상북도 안동시 북문옥정길 25,경상북도 안동시 율세동 410-5,2일+7일,36.56852384,128.7326141,66,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1970,,2024-11-04,B553077,소상공인시장진흥공단
풍산공설시장,5일장,경상북도 안동시 풍산읍 하리들길 7-1,경상북도 안동시 풍산읍 하리리 234-6,3일+8일,36.57720568,128.5765756,35,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1917,,2024-11-04,B553077,소상공인시장진흥공단
구담공설시장,5일장,경상북도 안동시 풍천면 섬마길 7-9,경상북도 안동시 풍천면 구담리 494-1,4일+9일,36.54175206,128.4647059,70,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1962,,2024-11-04,B553077,소상공인시장진흥공단
강구시장,상설장+5일장,경상북도 영덕군 강구면 강구시장1길 8-2,경상북도 영덕군 강구면 오포리 535,3일+8일,36.35834827,129.3795018,52,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1919,,2024-11-04,B553077,소상공인시장진흥공단
남정시장,5일장,경상북도 영덕군 남정면 진불1길 31-3,경상북도 영덕군 남정면 장사리365,2일+7일,36.28554787,129.3728791,20,농산물+수산물+가공식품,,,Y,Y,1986,,2024-11-04,B553077,소상공인시장진흥공단
영해만세시장,상설장+5일장,경상북도 영덕군 영해면 예주시장5길 21,경상북도 영덕군 영해면 성내리 468-1,5일+10일,36.54089457,129.407185,176,농산물+축산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1965,,2024-11-04,B553077,소상공인시장진흥공단
영양시장,상설장+5일장,경상북도 영양군 영양로 영양읍 시장5길 4,경상북도 영양군 영양로 영양읍 서부리 288-3,4일+9일,,,80,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1918,054-683-1058,2024-11-04,B553077,소상공인시장진흥공단
